car_brand,car_tier,car_segment,damage_location,car_age,damage_type,damage_ratio,internal_damage_flag,car_model_val,repair_cost
Maruti Suzuki,Economy,SUV,rear,4,glass_damage,0.06,0,7.48,6600
Maruti Suzuki,Economy,Hatchback,rear,7,dent,0.264,0,2.71,4600
Tata,Economy,Hatchback,front,2,dent,0.174,0,4.66,6500
Maruti Suzuki,Economy,SUV,rear,2,scratch,0.235,0,8.69,3800
Nissan,Economy,Hatchback,front,1,scratch,0.064,0,4.66,1900
Maruti Suzuki,Economy,SUV,rear,7,glass_damage,0.131,0,4.72,6800
Nissan,Economy,Hatchback,rear,5,glass_damage,0.17,0,3.85,5100
Maruti Suzuki,Economy,Hatchback,rear,8,scratch,0.18,0,2.32,1800
Maruti Suzuki,Economy,Hatchback,side,8,damaged_tire,0.137,0,2.54,3800
Tata,Economy,Hatchback,side,4,lamp_broken,0.01,0,4.05,2400
Tata,Economy,Sedan,side,1,dent,0.114,0,8.36,4900
Nissan,Economy,Hatchback,front,6,damaged_tire,0.052,0,3.41,3800
Nissan,Economy,SUV,front,5,dent,0.157,1,6.52,16500
Mercedes,Luxury,Sedan,front,12,dent,0.078,0,7.48,17800
Nissan,Economy,SUV,rear,2,damaged_tire,0.038,0,8.75,4000
Renault,Economy,Hatchback,rear,3,dent,0.222,0,4.51,5800
MG,Mid,SUV,front,2,scratch,0.06,0,14.33,4000
Hyundai,Economy,Sedan,front,20,scratch,0.085,0,1.56,1700
BMW,Luxury,Sedan,rear,5,scratch,0.142,0,21.45,11200
Tata,Economy,Hatchback,side,9,lamp_broken,0.09,0,2.17,4600
Volvo,Luxury,Sedan,front,3,dent,0.099,0,25.42,21800
Hyundai,Economy,Hatchback,front,9,glass_damage,0.187,0,2.04,7200
Volkswagen,Mid,Sedan,front,7,dent,0.203,0,5.92,11500
Audi,Luxury,SUV,rear,8,dent,0.121,0,21.74,22000
Maruti Suzuki,Economy,Hatchback,front,12,scratch,0.021,0,1.5,1000
Maruti Suzuki,Economy,Sedan,rear,6,scratch,0.012,0,4.8,900
Volvo,Luxury,SUV,front,6,scratch,0.099,0,30.23,12800
Honda,Mid,SUV,front,6,scratch,0.042,0,10.0,3000
Hyundai,Economy,SUV,side,7,dent,0.087,0,5.07,4200
Hyundai,Economy,Hatchback,side,15,glass_damage,0.074,0,1.5,4200
Nissan,Economy,Sedan,front,6,glass_damage,0.102,0,4.69,6700
Skoda,Mid,SUV,side,1,damaged_tire,0.24,0,14.88,12000
Honda,Mid,SUV,front,8,dent,0.133,0,7.05,12300
Toyota,Mid,SUV,rear,4,glass_damage,0.194,0,10.74,14500
Honda,Mid,SUV,side,6,scratch,0.021,0,9.83,2100
Renault,Economy,Sedan,side,6,dent,0.142,0,4.63,5100
BMW,Luxury,SUV,rear,6,scratch,0.107,0,26.78,9800
MG,Mid,SUV,rear,5,glass_damage,0.255,0,10.26,20000
Nissan,Economy,Hatchback,front,8,scratch,0.122,0,2.6,2000
Skoda,Mid,SUV,front,5,damaged_tire,0.174,0,10.61,11300
Nissan,Economy,Hatchback,front,5,scratch,0.128,0,3.4,2400
Tata,Economy,Hatchback,front,1,scratch,0.11,0,5.13,2500
Toyota,Mid,Sedan,front,3,scratch,0.02,0,9.75,2300
Maruti Suzuki,Economy,Hatchback,rear,3,dent,0.097,0,4.2,3400
Honda,Mid,SUV,front,8,dent,0.194,0,6.73,13200
Skoda,Mid,Sedan,rear,4,damaged_tire,0.118,0,8.46,5300
BMW,Luxury,Sedan,side,7,dent,0.061,0,17.94,15300
Tata,Economy,Sedan,front,6,scratch,0.01,0,4.83,1200
Maruti Suzuki,Economy,Hatchback,front,9,scratch,0.067,0,2.18,1600
Kia,Mid,SUV,rear,4,scratch,0.094,0,11.18,3500
Hyundai,Economy,SUV,rear,8,glass_damage,0.207,0,4.18,7400
Hyundai,Economy,SUV,rear,12,dent,0.057,0,1.91,2900
Volkswagen,Mid,SUV,side,3,lamp_broken,0.064,0,12.34,14800
Hyundai,Economy,SUV,front,3,scratch,0.111,0,8.45,3100
Hyundai,Economy,Hatchback,side,1,scratch,0.205,0,4.83,2700
Volkswagen,Mid,SUV,front,8,glass_damage,0.02,0,7.01,11500
Audi,Luxury,SUV,side,5,scratch,0.202,0,31.81,14700
Maruti Suzuki,Economy,SUV,front,1,dent,0.038,0,9.3,4200
Jaguar,Luxury,SUV,rear,4,dent,0.277,0,36.36,33700
Nissan,Economy,Hatchback,rear,11,dent,0.01,0,1.5,1400
Tata,Economy,Sedan,front,7,dent,0.128,0,4.23,4500
Tata,Economy,Sedan,rear,4,scratch,0.095,0,5.83,1700
Volvo,Luxury,Sedan,front,2,scratch,0.209,0,29.31,18600
Renault,Economy,Sedan,rear,10,scratch,0.01,0,2.4,1000
Hyundai,Economy,Hatchback,side,7,lamp_broken,0.113,0,2.83,4200
Toyota,Mid,SUV,front,12,lamp_broken,0.232,0,3.33,19700
Volkswagen,Mid,Sedan,front,6,dent,0.039,0,7.13,6300
Hyundai,Economy,Hatchback,rear,5,scratch,0.088,0,3.62,1800
Maruti Suzuki,Economy,Hatchback,side,5,lamp_broken,0.253,0,3.56,7900
Maruti Suzuki,Economy,SUV,side,10,glass_damage,0.194,0,3.12,7800
Kia,Mid,Sedan,side,5,damaged_tire,0.126,0,7.6,7000
Hyundai,Economy,Sedan,rear,4,dent,0.262,1,6.01,16700
Nissan,Economy,Hatchback,front,5,lamp_broken,0.219,0,3.83,8400
Hyundai,Economy,Sedan,front,11,scratch,0.089,0,1.66,1600
Tata,Economy,SUV,front,9,lamp_broken,0.156,0,3.77,8300
Kia,Mid,SUV,front,7,scratch,0.189,0,8.01,5400
Toyota,Mid,Sedan,front,6,lamp_broken,0.044,0,6.83,11300
Kia,Mid,SUV,front,6,scratch,0.232,0,9.6,5500
Mercedes,Luxury,SUV,rear,3,dent,0.162,0,38.79,28500
Volkswagen,Mid,SUV,side,7,glass_damage,0.128,0,8.33,14300
Nissan,Economy,Hatchback,side,2,glass_damage,0.185,0,4.78,7400
Toyota,Mid,SUV,side,6,scratch,0.122,0,8.44,4100
Nissan,Economy,SUV,side,3,damaged_tire,0.089,0,7.87,4500
Renault,Economy,Sedan,front,0,glass_damage,0.138,0,7.91,8700
Nissan,Economy,Sedan,front,5,dent,0.202,0,5.58,7400
Volkswagen,Mid,SUV,rear,6,glass_damage,0.179,0,9.45,13300
Tata,Economy,Hatchback,rear,8,scratch,0.091,0,2.13,1400
MG,Mid,Hatchback,front,6,dent,0.272,0,4.44,12500
Maruti Suzuki,Economy,Hatchback,front,13,dent,0.108,0,1.5,3900
Honda,Mid,SUV,side,3,glass_damage,0.092,0,12.89,16600
Tata,Economy,Hatchback,front,4,scratch,0.125,0,3.85,2600
Tata,Economy,SUV,rear,6,damaged_tire,0.079,0,6.12,4000
Toyota,Mid,Sedan,front,6,dent,0.142,0,6.95,10400
Volvo,Luxury,Sedan,rear,1,glass_damage,0.181,0,33.08,46900
Renault,Economy,SUV,rear,10,dent,0.047,0,3.17,2900
Renault,Economy,Hatchback,rear,7,scratch,0.066,0,2.69,1200
Nissan,Economy,Sedan,rear,6,glass_damage,0.16,0,4.59,5800
Nissan,Economy,Hatchback,side,5,dent,0.08,0,3.6,3800
Hyundai,Economy,Hatchback,rear,9,dent,0.072,0,2.23,2800
Jaguar,Luxury,SUV,rear,7,dent,0.087,0,24.13,19200
Maruti Suzuki,Economy,Sedan,rear,5,scratch,0.085,0,5.32,1800
Toyota,Mid,SUV,front,2,lamp_broken,0.179,0,12.88,23200
Nissan,Economy,Hatchback,front,12,scratch,0.144,0,1.5,1700
Skoda,Mid,SUV,side,1,glass_damage,0.088,0,14.74,15500
Hyundai,Economy,Hatchback,front,5,scratch,0.268,0,3.74,3300
Maruti Suzuki,Economy,Hatchback,front,2,glass_damage,0.217,0,4.84,9300
Volkswagen,Mid,SUV,front,1,scratch,0.303,0,14.36,8500
Kia,Mid,Hatchback,rear,10,glass_damage,0.193,1,2.55,31600
Hyundai,Economy,Hatchback,rear,3,dent,0.2,0,4.7,4600
Tata,Economy,Hatchback,rear,2,scratch,0.06,0,4.84,1600
Nissan,Economy,Sedan,rear,12,damaged_tire,0.124,0,1.61,3300
Maruti Suzuki,Economy,Hatchback,front,1,glass_damage,0.082,0,5.31,7000
Toyota,Mid,Sedan,side,6,lamp_broken,0.119,0,6.32,12600
Hyundai,Economy,Sedan,side,6,dent,0.138,0,4.91,4800
Nissan,Economy,Hatchback,front,7,dent,0.121,0,2.8,4700
MG,Mid,Sedan,front,4,dent,0.047,0,8.66,5900
Tata,Economy,Sedan,rear,6,scratch,0.099,0,4.56,1500
Volkswagen,Mid,Hatchback,side,4,dent,0.023,0,5.46,4500
Hyundai,Economy,Hatchback,front,7,dent,0.201,0,2.44,5400
Nissan,Economy,Hatchback,front,6,scratch,0.058,0,3.0,1500
MG,Mid,SUV,front,11,dent,0.133,0,3.87,10400
Maruti Suzuki,Economy,SUV,rear,3,dent,0.106,0,7.43,5000
Nissan,Economy,Sedan,front,4,scratch,0.204,0,5.48,3100
